AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Alg,Samples
0.012122743749608438,0.012230978436034323,0.012339847444966967,Dual Bandit log (alpha = 0.0),5000
0.012193892720698731,0.012302406899888745,0.01241155491769752,Dual Bandit log (alpha = 0.8),5000
0.012174463462302807,0.012282930782376574,0.012392032416069454,Dual Bandit log (alpha = 0.85),5000
0.012123249570654146,0.01223147631686593,0.012340337264075463,Dual Bandit log (alpha = 0.9),5000
0.012141206472070898,0.012249547302596097,0.012358522720821385,Dual Bandit log (alpha = 0.925),5000
0.012044418285418924,0.012152302059670158,0.012260820193216615,Dual Bandit log (alpha = 0.95),5000
0.01207057090705345,0.012178606922358162,0.012287277693714627,Dual Bandit log (alpha = 0.975),5000
0.012004933972791192,0.01211262932232222,0.012220958919114344,Dual Bandit log (alpha = 0.99),5000
0.012115212554917348,0.012223459559450832,0.012332341426188553,Dual Bandit log (alpha = 0.999),5000
0.011983050767543907,0.01209072021722293,0.01219902477814494,Dual Bandit log (alpha = 0.9999),5000
0.011858664110843744,0.011965749299487596,0.012073469388863,Dual Bandit log (alpha = 1.0),5000
