CTR Mean in 5 Run,Alg,Confidence Interval 0.95%
0.015823123,Dual Bandit no log (alpha = 0.99),"(0.01569969966253496,0.015947181859453652)"
0.016020135,Dual Bandit log (alpha = 0.999),"(0.015895896164165556,0.016145008195295407)"
0.014532852,POEM no log (variance_penalisation_strength = 0.0),"(0.01441462405535396,0.014651714849259645)"
0.015007994,POEM log (variance_penalisation_strength = 0.05),"(0.014887828346597347,0.015128794095931375)"
0.014133603,Dual Bandit no log (alpha = 0.0),"(0.014017022925711786,0.014250818294746948)"
0.014976253,Dual Bandit no log (alpha = 0.8),"(0.01485618366836281,0.01509695759603713)"
0.014391265,Dual Bandit no log (alpha = 0.85),"(0.01427370271608877,0.014509461758570152)"
0.015228142,Dual Bandit no log (alpha = 0.9),"(0.015107039721781238,0.01534988037839946)"
0.01533839,Dual Bandit no log (alpha = 0.925),"(0.015216841108528993,0.015460573621863039)"
0.015537244,Dual Bandit no log (alpha = 0.95),"(0.015414944285939635,0.015660178064928476)"
0.015815024,Dual Bandit no log (alpha = 0.975),"(0.015691619838427463,0.01593906244235932)"
0.015643322,Dual Bandit no log (alpha = 0.999),"(0.015520658985509772,0.015766619840095197)"
0.014517757,Dual Bandit no log (alpha = 0.9999),"(0.014399646953284937,0.014636501628086496)"
0.013957696,Dual Bandit no log (alpha = 1.0),"(0.013841869009679039,0.014074157602842252)"
0.014996886,Dual Bandit log (alpha = 0.0),"(0.01487676899918076,0.015117637774405113)"
0.015069457,Dual Bandit log (alpha = 0.8),"(0.01494904424473835,0.015190504479744904)"
0.01501973,Dual Bandit log (alpha = 0.85),"(0.014899512924507703,0.015140581510014739)"
0.015061831,Dual Bandit log (alpha = 0.9),"(0.014941459725317014,0.015182837611572686)"
0.015081539,Dual Bandit log (alpha = 0.925),"(0.014961060549860676,0.015202653483478157)"
0.015119193,Dual Bandit log (alpha = 0.95),"(0.014998587437506952,0.015240432650300062)"
0.015188732,Dual Bandit log (alpha = 0.975),"(0.01506783223389547,0.015310267344623152)"
0.015437467,Dual Bandit log (alpha = 0.99),"(0.015315588184416138,0.01555998098430289)"
0.015667321,Dual Bandit log (alpha = 0.9999),"(0.01554455753456154,0.015790719784149254)"
0.013960258,Dual Bandit log (alpha = 1.0),"(0.013844443476185672,0.014076706479525414)"
0.014461647,POEM no log (variance_penalisation_strength = 0.05),"(0.014343745085873391,0.014580184059409973)"
0.014203439,POEM no log (variance_penalisation_strength = 0.1),"(0.01408657125816339,0.014320942702173434)"
0.014016331,POEM no log (variance_penalisation_strength = 0.25),"(0.013900257228204762,0.014133040737682512)"
0.013746831,POEM no log (variance_penalisation_strength = 0.5),"(0.013631870996861683,0.013862426247919335)"
0.013917037,POEM no log (variance_penalisation_strength = 1.0),"(0.013801402331821113,0.014033307498945491)"
0.014160013,POEM no log (variance_penalisation_strength = 2.0),"(0.0140433783397261,0.014277282339713149)"
0.015007286,POEM log (variance_penalisation_strength = 0.0),"(0.014887119276334106,0.015128088117468463)"
0.015002784,POEM log (variance_penalisation_strength = 0.1),"(0.014882637790473156,0.015123565677370943)"
0.014992804,POEM log (variance_penalisation_strength = 0.25),"(0.014872699707779295,0.015113542413899506)"
0.01497294,POEM log (variance_penalisation_strength = 0.5),"(0.014852917146134414,0.01509359711331526)"
0.014937061,POEM log (variance_penalisation_strength = 1.0),"(0.014817173034627774,0.015057584547758407)"
0.014894294,POEM log (variance_penalisation_strength = 2.0),"(0.014774591115050147,0.015014631916919985)"
