AgentStats.Q0_025,AgentStats.Q0_500,AgentStats.Q0_975,Method,Parameter,Numer of Product
0.0169,0.0170,0.0172,Dual Bandit log,alpha = 1.0,10
0.0169,0.0170,0.0172,Dual Bandit no log, alpha = 1.0,10
0.0168,0.0169,0.0170,POEM log ,SVP = 0.25,10
0.0166,0.0168,0.0169,POEM no log, SVP = 2.0,10
0.0182,0.0184,0.0185,Dual Bandit log,alpha = 0.925,25
0.0203,0.0204,0.0206,Dual Bandit no log,alpha = 0.8,25
0.0182,0.0184,0.0185,POEM log ,SVP = 0.0,25
0.0211,0.0212,0.0214,POEM no log,SVP = 1.0,25
0.0118,0.0119,0.0120,Dual Bandit log,alpha = 1.0,100
0.0173,0.0174,0.0175,Dual Bandit no log,alpha = 0.8,100
0.0116,0.0117,0.0118,POEM log ,SVP = 1.0,100
0.0183,0.0184,0.0186,POEM no log,SVP = 0.05,100
